BusinessUnit,CustomerNo,OrderLines,DiscountEUR,TurnoverEUR,CustomerName,CategoryCode,CategoryLabel,CatDiscountEUR,PctOfCategory
DK,87646000A,145,221100.3488147796,428720.4859038939,SIKOM Danmark A/S,PA2_Manually,Manual Price Change,1619679.5370446905,13.65
DK,70252510,366,190891.4679162464,356577.87399421685,Indoor Golf Partner ApS,PA2_Manually,Manual Price Change,1619679.5370446905,11.79
DK,70252586B,114,117654.43098765488,387753.61459045036,Expromo Europe A/S,PA2_Manually,Manual Price Change,1619679.5370446905,7.26
DK,70201799,276,83574.30720684968,148061.46060876324,AV CENTER A/S,PA2_Manually,Manual Price Change,1619679.5370446905,5.16
DK,23909,5,81793.88308193753,181560.54112725318,SoftwareONE Denmark ApS,PA2_Manually,Manual Price Change,1619679.5370446905,5.05
DK,20575,88,81356.992961733,34354.91443256378,Smart24 ApS,PA2_Manually,Manual Price Change,1619679.5370446905,5.02
DK,44835000,250,71963.37656355169,285282.60953012155,Atea A/S,PA2_Manually,Manual Price Change,1619679.5370446905,4.44
DK,62211766,292,52201.122100710265,380119.2680982609,Danoffice IT ApS,PA2_Manually,Manual Price Change,1619679.5370446905,3.22
DK,43668888,19,51554.54786420018,183148.30405219228,Kemp & Lauritzen A/S,PA2_Manually,Manual Price Change,1619679.5370446905,3.18
DK,76244040,44,41580.99210535312,104606.364946109,Scanview A/S,PA2_Manually,Manual Price Change,1619679.5370446905,2.57
DK,45869500A,310,38754.57570865933,424115.953564238,COMM2IG  A/S,PA2_Manually,Manual Price Change,1619679.5370446905,2.39
DK,88700900,148,31824.01886567003,217600.21874315437,Egiss A/S,PA2_Manually,Manual Price Change,1619679.5370446905,1.96
DK,20000,23,27303.669912095997,40215.93384473925,Modstrøm Danmark A/S,PA2_Manually,Manual Price Change,1619679.5370446905,1.69
DK,72170150,142,23988.828116616336,123043.1207850839,Best-AV A/S,PA2_Manually,Manual Price Change,1619679.5370446905,1.48
DK,76245214A,56,22649.601319330908,77523.53158903588,AVDAN A/S,PA2_Manually,Manual Price Change,1619679.5370446905,1.4
DK,70202999,80,21357.791815345332,122135.18134948272,AV Center Aalborg,PA2_Manually,Manual Price Change,1619679.5370446905,1.32
DK,70230522,49,19171.935392775293,28657.089505190746,Camvision A/S,PA2_Manually,Manual Price Change,1619679.5370446905,1.18
DK,75624577,122,18943.980316832465,106754.3315831926,Audio-Visuelt Centrum A/S,PA2_Manually,Manual Price Change,1619679.5370446905,1.17
DK,74123200,123,18277.612153527563,131916.34175232565,Kontor Syd A/S,PA2_Manually,Manual Price Change,1619679.5370446905,1.13
DK,71998999,67,16542.318121383454,49214.643483425694,Loop Partners ApS,PA2_Manually,Manual Price Change,1619679.5370446905,1.02
DK,96338600A,3,168201.98240725847,17329.62780357923,Nordic Computer A/S,MPA_MatchingPreviousSale,Matching Previous Sale,1423967.300812529,11.81
DK,44835000,624,156384.7546372502,1464823.5178536272,Atea A/S,MPA_MatchingPreviousSale,Matching Previous Sale,1423967.300812529,10.98
DK,77303000,16,119849.67600722505,301757.23776644975,GlobalConnect A/S,MPA_MatchingPreviousSale,Matching Previous Sale,1423967.300812529,8.42
DK,87646000A,78,107542.2063884915,393881.0620561252,SIKOM Danmark A/S,MPA_MatchingPreviousSale,Matching Previous Sale,1423967.300812529,7.55
DK,23500,11,89313.88609621383,355798.73074376595,GlobalConnect AB,MPA_MatchingPreviousSale,Matching Previous Sale,1423967.300812529,6.27
DK,45869500A,212,66665.13295011735,235457.94139694626,COMM2IG  A/S,MPA_MatchingPreviousSale,Matching Previous Sale,1423967.300812529,4.68
DK,20000,25,49692.03420682836,79829.77079297599,Modstrøm Danmark A/S,MPA_MatchingPreviousSale,Matching Previous Sale,1423967.300812529,3.49
DK,70201799,80,48589.53804742452,70026.4638882395,AV CENTER A/S,MPA_MatchingPreviousSale,Matching Previous Sale,1423967.300812529,3.41
DK,86442211,97,43389.40073745635,249435.36304274606,Ajour Nordic ApS,MPA_MatchingPreviousSale,Matching Previous Sale,1423967.300812529,3.05
DK,96443315,14,38695.00445355848,132801.36370564977,Godik ApS,MPA_MatchingPreviousSale,Matching Previous Sale,1423967.300812529,2.72
DK,62211766,209,34500.04324506917,221123.82749841904,Danoffice IT ApS,MPA_MatchingPreviousSale,Matching Previous Sale,1423967.300812529,2.42
DK,20672,9,34404.1341284749,46259.45762067699,The DS Company ApS,MPA_MatchingPreviousSale,Matching Previous Sale,1423967.300812529,2.42
DK,70252510,143,32705.732892902615,390253.8574348668,Indoor Golf Partner ApS,MPA_MatchingPreviousSale,Matching Previous Sale,1423967.300812529,2.3
DK,76244040,35,29271.400663467295,63983.13907651661,Scanview A/S,MPA_MatchingPreviousSale,Matching Previous Sale,1423967.300812529,2.06
DK,70202555,49,28548.64169654072,141088.7669190293,Descom A/S,MPA_MatchingPreviousSale,Matching Previous Sale,1423967.300812529,2.0
DK,79420100,47,24878.883051821213,213823.26815210748,Jansson Alarm A/S,MPA_MatchingPreviousSale,Matching Previous Sale,1423967.300812529,1.75
DK,51800180,21,22362.78277865353,156906.48423806892,GreyIT ApS,MPA_MatchingPreviousSale,Matching Previous Sale,1423967.300812529,1.57
DK,87459900,15,21596.263881875162,43821.27074195613,Danmon Group A/S,MPA_MatchingPreviousSale,Matching Previous Sale,1423967.300812529,1.52
DK,70137020,68,18235.425263872905,129797.87146580298,Dustin A/S,MPA_MatchingPreviousSale,Matching Previous Sale,1423967.300812529,1.28
DK,71998999,34,12058.19462479173,33077.74125539402,Loop Partners ApS,MPA_MatchingPreviousSale,Matching Previous Sale,1423967.300812529,0.85
DK,87646000A,75,325137.0290838967,630203.3541950511,SIKOM Danmark A/S,MPA_StaleQuote,Stale Quote,655186.8840915858,49.63
DK,20575,37,62086.90494019779,28740.662527507007,Smart24 ApS,MPA_StaleQuote,Stale Quote,655186.8840915858,9.48
DK,96443315,10,41860.490464883456,140553.20231519488,Godik ApS,MPA_StaleQuote,Stale Quote,655186.8840915858,6.39
DK,60241060,1,36934.94758264269,4016.655732437173,Tech-Vision ApS,MPA_StaleQuote,Stale Quote,655186.8840915858,5.64
DK,298205555,2,30340.351581850555,1071.0795142654401,KT Husid,MPA_StaleQuote,Stale Quote,655186.8840915858,4.63
DK,76245214A,17,15256.262651991474,22580.537047712256,AVDAN A/S,MPA_StaleQuote,Stale Quote,655186.8840915858,2.33
DK,79420100,56,13554.335301334106,160209.47320854667,Jansson Alarm A/S,MPA_StaleQuote,Stale Quote,655186.8840915858,2.07
DK,45169200A,2,9090.892529436192,60839.05000468836,DHI A/S,MPA_StaleQuote,Stale Quote,655186.8840915858,1.39
DK,42601200,2,8759.720010171715,7287.498159722687,Nyit.dk,MPA_StaleQuote,Stale Quote,655186.8840915858,1.34
DK,76123200,3,7105.886744321188,25998.643837209984,Atcom ApS,MPA_StaleQuote,Stale Quote,655186.8840915858,1.08
DK,70234949,18,6432.233309484221,42208.48593062676,Securitas Technology ApS,MPA_StaleQuote,Stale Quote,655186.8840915858,0.98
DK,43221100,5,6235.737366423984,17873.778206829975,Bravida Danmark A/S,MPA_StaleQuote,Stale Quote,655186.8840915858,0.95
DK,76244040,3,5944.4144930481925,21049.21490781606,Scanview A/S,MPA_StaleQuote,Stale Quote,655186.8840915858,0.91
DK,20047,13,5911.433238143191,45302.8014360624,Outscale ApS,MPA_StaleQuote,Stale Quote,655186.8840915858,0.9
DK,74561340,15,5911.167091757688,73136.54281016649,AG ELECTRIC A/S,MPA_StaleQuote,Stale Quote,655186.8840915858,0.9
DK,70252510,6,5396.5134806615815,6639.735273953114,Indoor Golf Partner ApS,MPA_StaleQuote,Stale Quote,655186.8840915858,0.82
DK,30295256,8,5135.4468150146395,13809.297607078637,Profox ApS,MPA_StaleQuote,Stale Quote,655186.8840915858,0.78
DK,70252586B,6,5113.6415267823295,7410.892142018107,Expromo Europe A/S,MPA_StaleQuote,Stale Quote,655186.8840915858,0.78
DK,21961,6,4967.864277662758,25380.70684222352,Simplyture ApS,MPA_StaleQuote,Stale Quote,655186.8840915858,0.76
DK,45869500A,16,4619.724048280659,104175.334236758,COMM2IG  A/S,MPA_StaleQuote,Stale Quote,655186.8840915858,0.71
DK,86442211,89,42354.70382548476,246326.65314455933,Ajour Nordic ApS,MPA_UnitFixedPrice,Fixed / Unit Price,427580.6192627789,9.91
DK,87646000A,29,39509.0715528156,161056.03225739088,SIKOM Danmark A/S,MPA_UnitFixedPrice,Fixed / Unit Price,427580.6192627789,9.24
DK,70202555,34,31024.291221542237,150595.2124788016,Descom A/S,MPA_UnitFixedPrice,Fixed / Unit Price,427580.6192627789,7.26
DK,76245214A,7,29321.71142433869,59958.33368777302,AVDAN A/S,MPA_UnitFixedPrice,Fixed / Unit Price,427580.6192627789,6.86
DK,20000,4,25106.575639141283,45524.808354565284,Modstrøm Danmark A/S,MPA_UnitFixedPrice,Fixed / Unit Price,427580.6192627789,5.87
