BusinessUnit,YearKey,MonthKey,TotalLines,ManualLines,DiscountEUR,TurnoverEUR,ManualPct
DK,2024,202404,15114,214,636459.820328719,4722384.947010137,1.42
DK,2024,202405,14146,268,427065.0720739383,4704286.024770695,1.89
DK,2024,202406,12683,207,657009.188089073,4239538.910498957,1.63
DK,2024,202407,10246,166,473445.4206255482,3399227.7575698053,1.62
DK,2024,202408,13949,207,526737.3082326462,4432909.827364269,1.48
DK,2024,202409,15437,203,353175.6654961624,4266028.075927582,1.32
DK,2024,202410,16845,357,715313.5925610982,4989224.900948901,2.12
DK,2024,202411,15935,245,543575.915917441,5111778.031412456,1.54
DK,2024,202412,13093,268,820291.5489210566,5660201.505442532,2.05
DK,2025,202501,17339,345,634216.6509724377,5786193.627516048,1.99
DK,2025,202502,14453,249,506072.4266981861,4204267.235143074,1.72
DK,2025,202503,15959,236,521888.8835282059,4851746.593035027,1.48
DK,2025,202504,14066,327,412128.56043360784,4077133.4859050615,2.32
DK,2025,202505,16180,300,409629.27931037795,4635092.4069743175,1.85
DK,2025,202506,15426,327,1626957.1875929541,6275175.639692141,2.12
DK,2025,202507,11670,187,398000.04098173697,4248488.356661569,1.6
DK,2025,202508,14493,218,838425.3292633774,4268521.431822313,1.5
DK,2025,202509,17817,362,374903.7469322432,4953274.092617428,2.03
DK,2025,202510,18282,345,450202.20066413487,5459958.8968137335,1.89
DK,2025,202511,18688,547,566847.86195799,6512134.202497144,2.93
DK,2025,202512,16409,427,1255626.8924120273,7392393.259770759,2.6
DK,2026,202601,18773,399,731338.7017166629,6479812.735940888,2.13
DK,2026,202602,17601,315,446729.7869473419,5067307.53061182,1.79
DK,2026,202603,19292,484,643330.5879645835,6262475.354981743,2.51
DK,2026,202604,6,2,256.13542084838764,2539.028502609394,33.33
