BusinessUnit,CustomerNo,Salesperson,OrderLines,DiscountEUR,CategoryCode,CategoryLabel,CustCatDiscountEUR,PctOfCustomer
DK,003546630423,SEC-DK,1,659.5724732795798,PA2_Manually,Manual Price Change,2375.7661275520754,27.76
DK,003546630423,UWH-DK,10,1716.1936542724957,PA2_Manually,Manual Price Change,2375.7661275520754,72.24
DK,1021,PERSONALE,55,957.4000460519919,PA2_Manually,Manual Price Change,957.4000460519919,100.0
DK,1187,PERSONALE,29,67.22554588802025,PA2_Manually,Manual Price Change,67.22554588802025,100.0
DK,1188,PERSONALE,66,351.16580086542155,PA2_Manually,Manual Price Change,351.16580086542155,100.0
DK,1199,PERSONALE,14,454.1316286021355,PA2_Manually,Manual Price Change,454.1316286021355,100.0
DK,1208,PERSONALE,5,80.60051297098026,PA2_Manually,Manual Price Change,80.60051297098026,100.0
DK,1213,PERSONALE,15,32.53174030762893,PA2_Manually,Manual Price Change,32.53174030762893,100.0
DK,1225,PERSONALE,33,117.01760214979949,PA2_Manually,Manual Price Change,117.01760214979949,100.0
DK,1244,PERSONALE,44,582.1199388578669,PA2_Manually,Manual Price Change,582.1199388578669,100.0
DK,1258,PERSONALE,46,101.49515484219447,PA2_Manually,Manual Price Change,101.49515484219447,100.0
DK,1259,PERSONALE,53,250.51241232313774,PA2_Manually,Manual Price Change,250.51241232313774,100.0
DK,1263,PERSONALE,38,102.15081320247803,PA2_Manually,Manual Price Change,102.15081320247803,100.0
DK,1269,PERSONALE,62,4153.425900587627,PA2_Manually,Manual Price Change,4153.425900587627,100.0
DK,1271,PERSONALE,41,444.228315976412,PA2_Manually,Manual Price Change,444.228315976412,100.0
DK,1279,PERSONALE,20,32.66996147813602,PA2_Manually,Manual Price Change,32.66996147813602,100.0
DK,1280,PERSONALE,34,832.7949682176389,PA2_Manually,Manual Price Change,832.7949682176389,100.0
DK,20000,SEC-DK,23,27303.669912095997,PA2_Manually,Manual Price Change,27303.669912095997,100.0
DK,20002,MIJ-DK,1,17.35849562385235,PA2_Manually,Manual Price Change,243.21769888373117,7.14
DK,20002,PAV-DK,2,225.85920325987883,PA2_Manually,Manual Price Change,243.21769888373117,92.86
DK,20004,B2B-DK,1,53.625053625053624,PA2_Manually,Manual Price Change,53.625053625053624,100.0
DK,20015,DKR-DK,1,-0.09382623381504171,PA2_Manually,Manual Price Change,-0.09382623381504171,100.0
DK,20026,SEC-DK,125,352.7550175061839,PA2_Manually,Manual Price Change,352.7550175061839,100.0
DK,20047,SEC-DK,6,1301.4258690311513,PA2_Manually,Manual Price Change,8938.355552353023,14.56
DK,20047,UWH-DK,14,7636.929683321872,PA2_Manually,Manual Price Change,8938.355552353023,85.44
DK,20083,B2B-DK,1,17.208797394555916,PA2_Manually,Manual Price Change,17.208797394555916,100.0
DK,20134,MIJ-DK,2,-264.01151912889685,PA2_Manually,Manual Price Change,-264.01151912889685,100.0
DK,20148,FGI-DK,2,33.60736952039204,PA2_Manually,Manual Price Change,33.60736952039204,100.0
DK,20177,DKR-DK,1,1.43527204502814,PA2_Manually,Manual Price Change,1.43527204502814,100.0
DK,20188,PAV-DK,3,15.282964645606647,PA2_Manually,Manual Price Change,15.282964645606647,100.0
DK,20234,SEC-DK,1,-127.39801321839853,PA2_Manually,Manual Price Change,-127.39801321839853,100.0
DK,20236,SEC-DK,1,0.0041742602915966565,PA2_Manually,Manual Price Change,0.0041742602915966565,100.0
